RecordDateTime,ModuleName,ThreadId,FileNameAndLineNum,LogLevel,Description
10:47:55:223 , CieMyCtrl , 18176 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 2: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=11082943a1bf56cf366a8bb035f8ab5d74bd79cdf4ea27769482c5fcf842c7fe&hashes[]=7fce6b3af380199791a13ae492de2c472d294ccbafe566b3376074a4ab9eb1a6 ]"
10:47:55:223 , CieMyCtrl , 18176 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 2: [ 200 ] {""needed_block"":[""11082943a1bf56cf366a8bb035f8ab5d74bd79cdf4ea27769482c5fcf842c7fe"",""7fce6b3af380199791a13ae492de2c472d294ccbafe566b3376074a4ab9eb1a6""],""upload_id"":""9f7cafea-d641-4865-bcaf-ead641b865e9""}"
10:47:55:324 , CieMyCtrl , 16864 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 3: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a ]"
10:47:55:324 , CieMyCtrl , 13248 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 4: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3 ]"
10:47:55:324 , CieMyCtrl , 16864 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 3: [ 200 ] {""needed_block"":[""33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a""],""upload_id"":""5a085e05-5555-4c95-885e-0555550c95eb""}"
10:47:55:324 , CieMyCtrl , 13248 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 4: [ 200 ] {""needed_block"":[""36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3""],""upload_id"":""02ed8770-9eb5-4388-ad87-709eb53388d4""}"
10:47:55:350 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:350 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:55:351 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:351 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
